Campaign name,Day,Delivery status,Delivery level,Result Type,Results,Cost per result,Amount spent (INR),Impressions,Reach,Attribution setting,Quality ranking,Engagement rate ranking,Conversion rate ranking,Ad set name,Reporting starts,Reporting ends
Activa King of Scooters,3/12/2026,active,campaign,Leads (form),5,34.082,170.41,3021,2465,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
Buy a Honda from Home _ BW,3/12/2026,active,campaign,,,,170.6,2892,2493,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
CB125 Hornet Get 5+5 Insurance Free,3/12/2026,active,campaign,Leads (form),2,94.17,188.34,6252,5182,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
Dio 125 X Edition,3/12/2026,active,campaign,Leads (form),3,70.82666667,212.48,7304,6071,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
Shine 125 Limited Edition,3/12/2026,active,campaign,Leads (form),7,28.25571429,197.79,10024,8512,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/12/2026,active,campaign,Leads (form),1,157.44,157.44,2856,2516,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
Buy a Honda from Home _ Connect with us on Video chat,3/12/2026,active,campaign,Leads (form),1,148.92,148.92,1603,1339,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
Exchange & Upgrade to an Amazing new Honda,3/12/2026,active,campaign,Leads (form),1,163.53,163.53,3915,3670,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/12/2026,active,campaign,Leads (form),1,145.44,145.44,2480,2283,7-day click or 1-day view,-,-,-,,3/12/2026,3/12/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/11/2026,active,campaign,Leads (form),2,161.31,322.62,8195,6947,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/11/2026,active,campaign,Leads (form),3,80.32333333,240.97,4954,4236,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
Exchange & Upgrade to an Amazing new Honda,3/11/2026,active,campaign,Leads (form),7,47.08857143,329.62,9016,7709,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
Buy a Honda from Home _ Connect with us on Video chat,3/11/2026,active,campaign,Leads (form),1,252.89,252.89,2937,2360,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
We’re Hiring _ Tansi Honda,3/11/2026,recently_completed,campaign,Leads (form),38,7.39605263,281.05,9480,7459,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
CB125 Hornet Get 5+5 Insurance Free,3/11/2026,active,campaign,,,,296.33,11353,8802,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
Shine 125 Limited Edition,3/11/2026,active,campaign,Leads (form),8,35.95625,287.65,15307,12063,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
Dio 125 X Edition,3/11/2026,active,campaign,Leads (form),10,34.927,349.27,13729,10804,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
Buy a Honda from Home _ BW,3/11/2026,active,campaign,Leads (form),3,90.20666667,270.62,5028,4188,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
Activa King of Scooters,3/11/2026,active,campaign,Leads (form),6,46.43166667,278.59,5767,4572,7-day click or 1-day view,-,-,-,,3/11/2026,3/11/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/10/2026,active,campaign,Leads (form),4,82.5975,330.39,10022,8158,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/10/2026,active,campaign,Leads (form),3,84.56,253.68,4464,3907,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
Exchange & Upgrade to an Amazing new Honda,3/10/2026,active,campaign,Leads (form),8,41.39375,331.15,9552,7748,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
Buy a Honda from Home _ Connect with us on Video chat,3/10/2026,active,campaign,Leads (form),5,56.122,280.61,2990,2458,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
We’re Hiring _ Tansi Honda,3/10/2026,recently_completed,campaign,Leads (form),30,9.515,285.45,9343,7182,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
Shine 125 Limited Edition,3/10/2026,active,campaign,Leads (form),8,36.30625,290.45,15264,11696,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
CB125 Hornet Get 5+5 Insurance Free,3/10/2026,active,campaign,,,,297.19,11461,9062,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
Buy a Honda from Home _ BW,3/10/2026,active,campaign,Leads (form),8,38.32,306.56,4304,3481,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
Activa King of Scooters,3/10/2026,active,campaign,Leads (form),6,48.43833333,290.63,5842,4172,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
Dio 125 X Edition,3/10/2026,active,campaign,Leads (form),8,44.195,353.56,13582,10978,7-day click or 1-day view,-,-,-,,3/10/2026,3/10/2026
