"Campaign name",Day,"Delivery status","Delivery level","Result Type",Results,"Cost per result","Amount spent (INR)",Impressions,Reach,"Attribution setting","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name","Reporting starts","Reporting ends"
"Activa King of Scooters",2026-03-11,active,campaign,"Leads (form)",6,46.44833333,278.69,5768,4572,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"Buy a Honda from Home _ BW",2026-03-11,active,campaign,"Leads (form)",3,90.21,270.63,5029,4188,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"CB125 Hornet Get 5+5 Insurance Free",2026-03-11,active,campaign,,,,296.35,11355,8814,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"Dio 125 X Edition",2026-03-11,active,campaign,"Leads (form)",10,34.973,349.73,13731,10804,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"Shine 125 Limited Edition",2026-03-11,active,campaign,"Leads (form)",8,35.95625,287.65,15307,12063,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"Rev-up for a New Ride @ Honda BigWing WFD",2026-03-11,active,campaign,"Leads (form)",2,161.37,322.74,8197,6947,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"We’re Hiring _ Tansi Honda",2026-03-11,recently_completed,campaign,"Leads (form)",38,7.39605263,281.05,9480,7459,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"Buy a Honda from Home _ Connect with us on Video chat",2026-03-11,active,campaign,"Leads (form)",1,252.89,252.89,2938,2360,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"Exchange & Upgrade to an Amazing new Honda",2026-03-11,active,campaign,"Leads (form)",7,47.09571429,329.67,9019,7709,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"Corporate Benefit Scheme on Honda 2-Wheelers",2026-03-11,active,campaign,"Leads (form)",3,80.32333333,240.97,4954,4236,"7-day click or 1-day view",-,-,-,,2026-03-11,2026-03-11
"Rev-up for a New Ride @ Honda BigWing WFD",2026-03-10,active,campaign,"Leads (form)",4,82.5975,330.39,10022,8158,"7-day click or 1-day view",-,-,-,,2026-03-10,2026-03-10
"Corporate Benefit Scheme on Honda 2-Wheelers",2026-03-10,active,campaign,"Leads (form)",3,84.56,253.68,4464,3907,"7-day click or 1-day view",-,-,-,,2026-03-10,2026-03-10
"Exchange & Upgrade to an Amazing new Honda",2026-03-10,active,campaign,"Leads (form)",8,41.39375,331.15,9552,7748,"7-day click or 1-day view",-,-,-,,2026-03-10,2026-03-10
